datetime,symbol,open,high,low,close,volume
2018-10-25 19:00:00,VANTAGE:SP500,2679.3,2691.6,2626.4,2669.25,0.0
2018-10-28 19:00:00,VANTAGE:SP500,2666.3,2706.5,2602.65,2638.65,0.0
2018-10-29 19:00:00,VANTAGE:SP500,2637.9,2689.7,2632.9,2688.8,0.0
2018-10-30 19:00:00,VANTAGE:SP500,2688.8,2736.6,2681.4,2705.6,0.0
2018-10-31 19:00:00,VANTAGE:SP500,2705.6,2741.15,2705.15,2732.3,0.0
2018-11-01 19:00:00,VANTAGE:SP500,2732.3,2765.85,2699.4,2723.75,0.0
2018-11-04 21:00:00,VANTAGE:SP500,2722.7,2744.05,2712.9,2740.2,0.0
2018-11-05 21:00:00,VANTAGE:SP500,2739.9,2761.15,2729.9,2758.9,0.0
2018-11-06 21:00:00,VANTAGE:SP500,2756.9,2817.95,2744.9,2817.2,0.0
2018-11-07 21:00:00,VANTAGE:SP500,2812.9,2816.9,2793.9,2805.05,0.0
2018-11-08 21:00:00,VANTAGE:SP500,2803.85,2809.85,2763.15,2777.6,0.0
2018-11-11 21:00:00,VANTAGE:SP500,2776.9,2794.4,2721.4,2729.8,0.0
2018-11-12 21:00:00,VANTAGE:SP500,2729.8,2755.15,2713.9,2728.25,0.0
2018-11-13 21:00:00,VANTAGE:SP500,2728.65,2746.8,2684.9,2700.35,0.0
2018-11-14 21:00:00,VANTAGE:SP500,2700.35,2734.75,2669.15,2731.9,0.0
2018-11-15 21:00:00,VANTAGE:SP500,2729.6,2746.45,2706.6,2740.1,0.0
2018-11-18 21:00:00,VANTAGE:SP500,2731.35,2746.9,2680.4,2696.55,0.0
2018-11-19 21:00:00,VANTAGE:SP500,2695.05,2695.65,2630.65,2635.7,0.0
2018-11-20 21:00:00,VANTAGE:SP500,2637.5,2670.1,2630.9,2647.85,0.0
2018-11-21 21:00:00,VANTAGE:SP500,2648.6,2655.15,2627.65,2631.85,0.0
2018-11-22 21:00:00,VANTAGE:SP500,2633.85,2646.45,2625.15,2627.8,0.0
2018-11-25 21:00:00,VANTAGE:SP500,2632.4,2675.5,2630.65,2660.25,0.0
2018-11-26 21:00:00,VANTAGE:SP500,2660.25,2686.15,2654.65,2685.55,0.0
2018-11-27 21:00:00,VANTAGE:SP500,2685.5,2744.25,2680.4,2740.6,0.0
2018-11-28 21:00:00,VANTAGE:SP500,2737.55,2753.4,2722.15,2740.8,0.0
2018-11-29 21:00:00,VANTAGE:SP500,2740.4,2763.25,2727.65,2762.75,0.0
2018-12-02 21:00:00,VANTAGE:SP500,2792.4,2812.9,2772.65,2789.3,0.0
2018-12-03 21:00:00,VANTAGE:SP500,2789.05,2789.3,2694.9,2700.65,0.0
2018-12-04 21:00:00,VANTAGE:SP500,2700.1,2720.1,2696.9,2717.1,0.0
2018-12-05 21:00:00,VANTAGE:SP500,2712.5,2712.5,2619.9,2693.85,0.0
2018-12-06 21:00:00,VANTAGE:SP500,2692.75,2707.85,2621.65,2633.15,0.0
2018-12-09 21:00:00,VANTAGE:SP500,2624.0,2647.25,2581.65,2640.45,0.0
2018-12-10 21:00:00,VANTAGE:SP500,2640.85,2676.85,2620.35,2630.35,0.0
2018-12-11 21:00:00,VANTAGE:SP500,2630.35,2685.45,2630.35,2649.6,0.0
2018-12-12 21:00:00,VANTAGE:SP500,2650.95,2669.65,2635.65,2644.25,0.0
2018-12-13 21:00:00,VANTAGE:SP500,2644.9,2647.25,2592.65,2599.9,0.0
2018-12-16 21:00:00,VANTAGE:SP500,2591.4,2612.4,2529.4,2552.75,0.0
2018-12-17 21:00:00,VANTAGE:SP500,2552.75,2573.55,2526.9,2528.95,0.0
2018-12-18 21:00:00,VANTAGE:SP500,2527.7,2584.8,2486.6,2499.55,0.0
2018-12-19 21:00:00,VANTAGE:SP500,2500.1,2516.0,2439.65,2485.85,0.0
2018-12-20 21:00:00,VANTAGE:SP500,2483.85,2505.85,2407.65,2410.95,0.0
2018-12-23 21:00:00,VANTAGE:SP500,2401.8,2432.85,2339.15,2339.95,0.0
2018-12-25 21:00:00,VANTAGE:SP500,2346.65,2476.65,2315.65,2466.9,0.0
2018-12-26 21:00:00,VANTAGE:SP500,2466.9,2497.4,2396.4,2487.9,0.0
2018-12-27 21:00:00,VANTAGE:SP500,2490.1,2520.1,2471.65,2485.6,0.0
2018-12-30 21:00:00,VANTAGE:SP500,2498.1,2511.2,2481.65,2507.6,0.0
2019-01-01 21:00:00,VANTAGE:SP500,2507.1,2520.15,2452.4,2490.45,0.0
2019-01-02 21:00:00,VANTAGE:SP500,2479.65,2492.2,2442.15,2450.3,0.0
